transaction_id,account_id,transaction_date,transaction_type,amount,location_id,merchant_name,payment_method,transaction_status
500040,100680,2026-08-08 23:20:00,Online Transfer,33740.4,21,Zomato,ATM,Success
500041,100697,2026-08-14 11:19:00,Cash Withdrawal,39571.41,34,Myntra,UPI,Success
500042,100714,2026-08-19 23:18:00,Deposit,45402.42,47,Uber,Debit Card,Success
500043,100731,2026-08-25 11:17:00,UPI,1333.43,10,IRCTC,Credit Card,Success
500044,100748,2026-08-30 23:16:00,Card Payment,7164.44,23,Reliance,Net Banking,Success
500045,100765,2026-09-05 11:15:00,ATM Withdrawal,12995.45,36,DMart,ATM,Success
500046,100782,2026-09-10 23:14:00,Online Transfer,18826.46,49,Netflix,UPI,Success
500047,100799,2026-09-16 11:13:00,Cash Withdrawal,24657.47,12,PhonePe,Debit Card,Success
500048,100816,2026-09-21 23:12:00,Deposit,30488.48,25,Google Pay,Credit Card,Success
500049,100833,2026-09-27 11:11:00,UPI,36319.49,38,Amazon,Net Banking,Success
500050,100850,2026-10-02 23:10:00,Card Payment,42150.5,1,Flipkart,ATM,Success
500051,100867,2026-10-08 11:09:00,ATM Withdrawal,47981.51,14,Swiggy,UPI,Success
500052,100884,2026-10-13 23:08:00,Online Transfer,3912.52,27,Zomato,Debit Card,Success
500053,100901,2026-10-19 11:07:00,Cash Withdrawal,9743.53,40,Myntra,Credit Card,Success
500054,100918,2026-10-24 23:06:00,Deposit,15574.54,3,Uber,Net Banking,Success
500055,100935,2026-10-30 11:05:00,UPI,21405.55,16,IRCTC,ATM,Success
500056,100952,2026-11-04 23:04:00,Card Payment,27236.56,29,Reliance,UPI,Success
500057,100969,2026-11-10 11:03:00,ATM Withdrawal,33067.57,42,DMart,Debit Card,Success
500058,100986,2026-11-15 23:02:00,Online Transfer,38898.58,5,Netflix,Credit Card,Success
500059,101003,2026-11-21 11:01:00,Cash Withdrawal,44729.59,18,PhonePe,Net Banking,Success
500060,101020,2026-11-26 23:00:00,Deposit,660.6,31,Google Pay,ATM,Success
500061,101037,2026-12-02 10:59:00,UPI,6491.61,44,Amazon,UPI,Success
500062,101054,2026-12-07 22:58:00,Card Payment,12322.62,7,Flipkart,Debit Card,Success
500063,101071,2026-12-13 10:57:00,ATM Withdrawal,18153.63,20,Swiggy,Credit Card,Success
500064,101088,2026-12-18 22:56:00,Online Transfer,23984.64,33,Zomato,Net Banking,Success
500065,101105,2026-12-24 10:55:00,Cash Withdrawal,29815.65,46,Myntra,ATM,Success
500066,101122,2026-12-29 22:54:00,Deposit,35646.66,9,Uber,UPI,Success
500067,101139,2027-01-04 10:53:00,UPI,41477.67,22,IRCTC,Debit Card,Pending
500068,101156,2027-01-09 22:52:00,Card Payment,47308.68,35,Reliance,Credit Card,Success
500069,101173,2027-01-15 10:51:00,ATM Withdrawal,3239.69,48,DMart,Net Banking,Success
500070,101190,2027-01-20 22:50:00,Online Transfer,9070.7,11,Netflix,ATM,Success
500071,101207,2027-01-26 10:49:00,Cash Withdrawal,14901.71,24,PhonePe,UPI,Success
500072,101224,2027-01-31 22:48:00,Deposit,20732.72,37,Google Pay,Debit Card,Success
500073,101241,2027-02-06 10:47:00,UPI,26563.73,50,Amazon,Credit Card,Success
500074,101258,2027-02-11 22:46:00,Card Payment,32394.74,13,Flipkart,Net Banking,Success
500075,101275,2027-02-17 10:45:00,ATM Withdrawal,38225.75,26,Swiggy,ATM,Success
500076,101292,2027-02-22 22:44:00,Online Transfer,44056.76,39,Zomato,UPI,Success
500077,101309,2027-02-28 10:43:00,Cash Withdrawal,49887.77,2,Myntra,Debit Card,Success
500078,101326,2027-03-05 22:42:00,Deposit,5818.78,15,Uber,Credit Card,Success
500079,101343,2027-03-11 10:41:00,UPI,11649.79,28,IRCTC,Net Banking,Success
500080,101360,2027-03-16 22:40:00,Card Payment,17480.8,41,Reliance,ATM,Success
500081,101377,2027-03-22 10:39:00,ATM Withdrawal,23311.81,4,DMart,UPI,Success
500082,101394,2027-03-27 22:38:00,Online Transfer,29142.82,17,Netflix,Debit Card,Success
500083,101411,2027-04-02 10:37:00,Cash Withdrawal,34973.83,30,PhonePe,Credit Card,Success
500084,101428,2027-04-07 22:36:00,Deposit,40804.84,43,Google Pay,Net Banking,Success
500085,101445,2027-04-13 10:35:00,UPI,46635.85,6,Amazon,ATM,Success
500086,101462,2027-04-18 22:34:00,Card Payment,2566.86,19,Flipkart,UPI,Success
500087,101479,2027-04-24 10:33:00,ATM Withdrawal,8397.87,32,Swiggy,Debit Card,Success
500088,101496,2027-04-29 22:32:00,Online Transfer,14228.88,45,Zomato,Credit Card,Success
500089,101513,2027-05-05 10:31:00,Cash Withdrawal,187291.0,8,Myntra,Net Banking,Success
500090,101530,2027-05-10 22:30:00,Deposit,25890.9,21,Uber,ATM,Success
500091,101547,2027-05-16 10:29:00,UPI,31721.91,34,IRCTC,UPI,Success
500092,101564,2027-05-21 22:28:00,Card Payment,37552.92,47,Reliance,Debit Card,Success
500093,101581,2027-05-27 10:27:00,ATM Withdrawal,43383.93,10,DMart,Credit Card,Success
500094,101598,2027-06-01 22:26:00,Online Transfer,49214.94,23,Netflix,Net Banking,Success
500095,101615,2027-06-07 10:25:00,Cash Withdrawal,5145.95,36,PhonePe,ATM,Success
500096,101632,2027-06-12 22:24:00,Deposit,10976.96,49,Google Pay,UPI,Success
500097,101649,2027-06-18 10:23:00,UPI,16807.97,12,Amazon,Debit Card,Success
500098,101666,2027-06-23 22:22:00,Card Payment,22638.98,25,Flipkart,Credit Card,Success
500099,101683,2027-06-29 10:21:00,ATM Withdrawal,28469.99,38,Swiggy,Net Banking,Success
500100,101700,2027-07-04 22:20:00,Online Transfer,34300.0,1,Zomato,ATM,Success
500101,101717,2027-07-10 10:19:00,Cash Withdrawal,40131.01,14,Myntra,UPI,Success
500102,101734,2027-07-15 22:18:00,Deposit,45962.02,27,Uber,Debit Card,Success
500103,101751,2027-07-21 10:17:00,UPI,1893.03,40,IRCTC,Credit Card,Success
500104,101768,2027-07-26 22:16:00,Card Payment,7724.04,3,Reliance,Net Banking,Success
500105,101785,2027-08-01 10:15:00,ATM Withdrawal,13555.05,16,DMart,ATM,Success
500106,101802,2027-08-06 22:14:00,Online Transfer,19386.06,29,Netflix,UPI,Success
500107,101819,2027-08-12 10:13:00,Cash Withdrawal,25217.07,42,PhonePe,Debit Card,Success
500108,101836,2027-08-17 22:12:00,Deposit,31048.08,5,Google Pay,Credit Card,Success
500109,101853,2027-08-23 10:11:00,UPI,36879.09,18,Amazon,Net Banking,Success
500110,101870,2027-08-28 22:10:00,Card Payment,42710.1,31,Flipkart,ATM,Success
500111,101887,2027-09-03 10:09:00,ATM Withdrawal,48541.11,44,Swiggy,UPI,Success
500112,101904,2027-09-08 22:08:00,Online Transfer,4472.12,7,Zomato,Debit Card,Success
500113,101921,2027-09-14 10:07:00,Cash Withdrawal,10303.13,20,Myntra,Credit Card,Failed
500114,101938,2027-09-19 22:06:00,Deposit,16134.14,33,Uber,Net Banking,Success
500115,101955,2027-09-25 10:05:00,UPI,21965.15,46,IRCTC,ATM,Success
500116,101972,2027-09-30 22:04:00,Card Payment,27796.16,9,Reliance,UPI,Success
500117,101989,2027-10-06 10:03:00,ATM Withdrawal,33627.17,22,DMart,Debit Card,Success
500118,102006,2027-10-11 22:02:00,Online Transfer,39458.18,35,Netflix,Credit Card,Success
500119,102023,2027-10-17 10:01:00,Cash Withdrawal,45289.19,48,PhonePe,Net Banking,Success
500120,102040,2027-10-22 22:00:00,Deposit,1220.2,11,Google Pay,ATM,Success
500121,102057,2027-10-28 09:59:00,UPI,7051.21,24,Amazon,UPI,Success
500122,102074,2027-11-02 21:58:00,Card Payment,12882.22,37,Flipkart,Debit Card,Success
500123,102091,2027-11-08 09:57:00,ATM Withdrawal,18713.23,50,Swiggy,Credit Card,Success
500124,102108,2027-11-13 21:56:00,Online Transfer,24544.24,13,Zomato,Net Banking,Success
500125,102125,2027-11-19 09:55:00,Cash Withdrawal,30375.25,26,Myntra,ATM,Success
500126,102142,2027-11-24 21:54:00,Deposit,36206.26,39,Uber,UPI,Success
500127,102159,2027-11-30 09:53:00,UPI,342837.0,2,IRCTC,Debit Card,Success
500128,102176,2027-12-05 21:52:00,Card Payment,47868.28,15,Reliance,Credit Card,Success
500129,102193,2027-12-11 09:51:00,ATM Withdrawal,3799.29,28,DMart,Net Banking,Success
500130,102210,2027-12-16 21:50:00,Online Transfer,9630.3,41,Netflix,ATM,Success
500131,102227,2027-12-22 09:49:00,Cash Withdrawal,15461.31,4,PhonePe,UPI,Success
500132,102244,2027-12-27 21:48:00,Deposit,21292.32,17,Google Pay,Debit Card,Success
500133,102261,2028-01-02 09:47:00,UPI,27123.33,30,Amazon,Credit Card,Success
500134,102278,2028-01-07 21:46:00,Card Payment,32954.34,43,Flipkart,Net Banking,Pending
500135,102295,2028-01-13 09:45:00,ATM Withdrawal,38785.35,6,Swiggy,ATM,Success
500136,102312,2028-01-18 21:44:00,Online Transfer,44616.36,19,Zomato,UPI,Success
500137,102329,2028-01-24 09:43:00,Cash Withdrawal,547.37,32,Myntra,Debit Card,Success
500138,102346,2028-01-29 21:42:00,Deposit,6378.38,45,Uber,Credit Card,Success
500139,102363,2028-02-04 09:41:00,UPI,12209.39,8,IRCTC,Net Banking,Success
500140,102380,2028-02-09 21:40:00,Card Payment,18040.4,21,Reliance,ATM,Success
500141,102397,2028-02-15 09:39:00,ATM Withdrawal,23871.41,34,DMart,UPI,Success
500142,102414,2028-02-20 21:38:00,Online Transfer,29702.42,47,Netflix,Debit Card,Success
500143,102431,2028-02-26 09:37:00,Cash Withdrawal,35533.43,10,PhonePe,Credit Card,Success
500144,102448,2028-03-02 21:36:00,Deposit,41364.44,23,Google Pay,Net Banking,Success
500145,102465,2028-03-08 09:35:00,UPI,47195.45,36,Amazon,ATM,Success
500146,102482,2028-03-13 21:34:00,Card Payment,3126.46,49,Flipkart,UPI,Success
500147,102499,2028-03-19 09:33:00,ATM Withdrawal,8957.47,12,Swiggy,Debit Card,Success
500148,102516,2028-03-24 21:32:00,Online Transfer,14788.48,25,Zomato,Credit Card,Success
500149,102533,2028-03-30 09:31:00,Cash Withdrawal,20619.49,38,Myntra,Net Banking,Success
500150,102550,2028-04-04 21:30:00,Deposit,26450.5,1,Uber,ATM,Success
500151,102567,2028-04-10 09:29:00,UPI,32281.51,14,IRCTC,UPI,Success
500152,102584,2028-04-15 21:28:00,Card Payment,38112.52,27,Reliance,Debit Card,Success
500153,102601,2028-04-21 09:27:00,ATM Withdrawal,43943.53,40,DMart,Credit Card,Success
500154,102618,2028-04-26 21:26:00,Online Transfer,49774.54,3,Netflix,Net Banking,Success
500155,102635,2028-05-02 09:25:00,Cash Withdrawal,5705.55,16,PhonePe,ATM,Success
500156,102652,2028-05-07 21:24:00,Deposit,11536.56,29,Google Pay,UPI,Success
500157,102669,2028-05-13 09:23:00,UPI,17367.57,42,Amazon,Debit Card,Success
500158,102686,2028-05-18 21:22:00,Card Payment,23198.58,5,Flipkart,Credit Card,Success
500159,102703,2028-05-24 09:21:00,ATM Withdrawal,29029.59,18,Swiggy,Net Banking,Success
500160,102720,2028-05-29 21:20:00,Online Transfer,34860.6,31,Zomato,ATM,Success
500161,102737,2028-06-04 09:19:00,Cash Withdrawal,40691.61,44,Myntra,UPI,Success
500162,102754,2028-06-09 21:18:00,Deposit,46522.62,7,Uber,Debit Card,Success
500163,102771,2028-06-15 09:17:00,UPI,2453.63,20,IRCTC,Credit Card,Success
500164,102788,2028-06-20 21:16:00,Card Payment,8284.64,33,Reliance,Net Banking,Success
500165,102805,2028-06-26 09:15:00,ATM Withdrawal,14115.65,46,DMart,ATM,Success
500166,102822,2028-07-01 21:14:00,Online Transfer,19946.66,9,Netflix,UPI,Success
500167,102839,2028-07-07 09:13:00,Cash Withdrawal,25777.67,22,PhonePe,Debit Card,Success
500168,102856,2028-07-12 21:12:00,Deposit,31608.68,35,Google Pay,Credit Card,Success
500169,102873,2028-07-18 09:11:00,UPI,37439.69,48,Amazon,Net Banking,Success
500170,102890,2028-07-23 21:10:00,Card Payment,43270.7,11,Flipkart,ATM,Success
500171,102907,2028-07-29 09:09:00,ATM Withdrawal,49101.71,24,Swiggy,UPI,Success
500172,102924,2028-08-03 21:08:00,Online Transfer,5032.72,37,Zomato,Debit Card,Success
500173,102941,2028-08-09 09:07:00,Cash Withdrawal,10863.73,50,Myntra,Credit Card,Success
500174,102958,2028-08-14 21:06:00,Deposit,16694.74,13,Uber,Net Banking,Success
500175,102975,2028-08-20 09:05:00,UPI,22525.75,26,IRCTC,ATM,Success
500176,102992,2028-08-25 21:04:00,Card Payment,28356.76,39,Reliance,UPI,Success
500177,100009,2028-08-31 09:03:00,ATM Withdrawal,34187.77,2,DMart,Debit Card,Success
500178,100026,2028-09-05 21:02:00,Online Transfer,224582.0,15,Netflix,Credit Card,Success
500179,100043,2028-09-11 09:01:00,Cash Withdrawal,45849.79,28,PhonePe,Net Banking,Success
500180,100060,2028-09-16 21:00:00,Deposit,1780.8,41,Google Pay,ATM,Success
500181,100077,2028-09-22 08:59:00,UPI,7611.81,4,Amazon,UPI,Success
500182,100094,2028-09-27 20:58:00,Card Payment,13442.82,17,Flipkart,Debit Card,Success
500183,100111,2028-10-03 08:57:00,ATM Withdrawal,19273.83,30,Swiggy,Credit Card,Success
500184,100128,2028-10-08 20:56:00,Online Transfer,25104.84,43,Zomato,Net Banking,Success
500185,100145,2028-10-14 08:55:00,Cash Withdrawal,30935.85,6,Myntra,ATM,Success
500186,100162,2028-10-19 20:54:00,Deposit,36766.86,19,Uber,UPI,Success
500187,100179,2028-10-25 08:53:00,UPI,42597.87,32,IRCTC,Debit Card,Success
500188,100196,2028-10-30 20:52:00,Card Payment,48428.88,45,Reliance,Credit Card,Success
500189,100213,2028-11-05 08:51:00,ATM Withdrawal,4359.89,8,DMart,Net Banking,Success
500190,100230,2028-11-10 20:50:00,Online Transfer,10190.9,21,Netflix,ATM,Success
500191,100247,2028-11-16 08:49:00,Cash Withdrawal,16021.91,34,PhonePe,UPI,Success
500192,100264,2028-11-21 20:48:00,Deposit,21852.92,47,Google Pay,Debit Card,Success
500193,100281,2028-11-27 08:47:00,UPI,27683.93,10,Amazon,Credit Card,Success
500194,100298,2028-12-02 20:46:00,Card Payment,33514.94,23,Flipkart,Net Banking,Success
500195,100315,2028-12-08 08:45:00,ATM Withdrawal,39345.95,36,Swiggy,ATM,Success
500196,100332,2028-12-13 20:44:00,Online Transfer,45176.96,49,Zomato,UPI,Success
500197,100349,2028-12-19 08:43:00,Cash Withdrawal,1107.97,12,Myntra,Debit Card,Success
500198,100366,2028-12-24 20:42:00,Deposit,6938.98,25,Uber,Credit Card,Success
500199,100383,2028-12-30 08:41:00,UPI,12769.99,38,IRCTC,Net Banking,Success
500200,100400,2029-01-04 20:40:00,Card Payment,18600.0,1,Reliance,ATM,Success
500201,100417,2029-01-10 08:39:00,ATM Withdrawal,24431.01,14,DMart,UPI,Pending
500202,100434,2029-01-15 20:38:00,Online Transfer,30262.02,27,Netflix,Debit Card,Success
500203,100451,2029-01-21 08:37:00,Cash Withdrawal,36093.03,40,PhonePe,Credit Card,Success
500204,100468,2029-01-26 20:36:00,Deposit,41924.04,3,Google Pay,Net Banking,Success
500205,100485,2029-02-01 08:35:00,UPI,47755.05,16,Amazon,ATM,Success
500206,100502,2029-02-06 20:34:00,Card Payment,3686.06,29,Flipkart,UPI,Success
500207,100519,2029-02-12 08:33:00,ATM Withdrawal,9517.07,42,Swiggy,Debit Card,Success
500208,100536,2029-02-17 20:32:00,Online Transfer,15348.08,5,Zomato,Credit Card,Success
500209,100553,2029-02-23 08:31:00,Cash Withdrawal,21179.09,18,Myntra,Net Banking,Success
500210,100570,2029-02-28 20:30:00,Deposit,27010.1,31,Uber,ATM,Success
500211,100587,2029-03-06 08:29:00,UPI,32841.11,44,IRCTC,UPI,Success
500212,100604,2029-03-11 20:28:00,Card Payment,38672.12,7,Reliance,Debit Card,Success
500213,100621,2029-03-17 08:27:00,ATM Withdrawal,44503.13,20,DMart,Credit Card,Success
500214,100638,2029-03-22 20:26:00,Online Transfer,434.14,33,Netflix,Net Banking,Success
500215,100655,2029-03-28 08:25:00,Cash Withdrawal,6265.15,46,PhonePe,ATM,Success
500216,100672,2029-04-02 20:24:00,Deposit,12096.16,9,Google Pay,UPI,Success
500217,100689,2029-04-08 08:23:00,UPI,17927.17,22,Amazon,Debit Card,Success
500218,100706,2029-04-13 20:22:00,Card Payment,23758.18,35,Flipkart,Credit Card,Success
500219,100723,2029-04-19 08:21:00,ATM Withdrawal,29589.19,48,Swiggy,Net Banking,Success
500220,100740,2029-04-24 20:20:00,Online Transfer,35420.2,11,Zomato,ATM,Success
500221,100757,2029-04-30 08:19:00,Cash Withdrawal,41251.21,24,Myntra,UPI,Success
500222,100774,2029-05-05 20:18:00,Deposit,47082.22,37,Uber,Debit Card,Success
500223,100791,2029-05-11 08:17:00,UPI,3013.23,50,IRCTC,Credit Card,Success
500224,100808,2029-05-16 20:16:00,Card Payment,8844.24,13,Reliance,Net Banking,Success
500225,100825,2029-05-22 08:15:00,ATM Withdrawal,14675.25,26,DMart,ATM,Success
500226,100842,2029-05-27 20:14:00,Online Transfer,20506.26,39,Netflix,UPI,Failed
500227,100859,2029-06-02 08:13:00,Cash Withdrawal,26337.27,2,PhonePe,Debit Card,Success
500228,100876,2029-06-07 20:12:00,Deposit,32168.28,15,Google Pay,Credit Card,Success
500229,100893,2029-06-13 08:11:00,UPI,37999.29,28,Amazon,Net Banking,Success
500230,100910,2029-06-18 20:10:00,Card Payment,43830.3,41,Flipkart,ATM,Success
500231,100927,2029-06-24 08:09:00,ATM Withdrawal,49661.31,4,Swiggy,UPI,Success
500232,100944,2029-06-29 20:08:00,Online Transfer,5592.32,17,Zomato,Debit Card,Success
500233,100961,2029-07-05 08:07:00,Cash Withdrawal,11423.33,30,Myntra,Credit Card,Success
500234,100978,2029-07-10 20:06:00,Deposit,17254.34,43,Uber,Net Banking,Success
500235,100995,2029-07-16 08:05:00,UPI,23085.35,6,IRCTC,ATM,Success
500236,101012,2029-07-21 20:04:00,Card Payment,28916.36,19,Reliance,UPI,Success
500237,101029,2029-07-27 08:03:00,ATM Withdrawal,34747.37,32,DMart,Debit Card,Success
500238,101046,2029-08-01 20:02:00,Online Transfer,40578.38,45,Netflix,Credit Card,Success
500239,101063,2029-08-07 08:01:00,Cash Withdrawal,46409.39,8,PhonePe,Net Banking,Success
500240,101080,2029-08-12 20:00:00,Deposit,2340.4,21,Google Pay,ATM,Success
500241,101097,2029-08-18 07:59:00,UPI,8171.41,34,Amazon,UPI,Success
500242,101114,2029-08-23 19:58:00,Card Payment,14002.42,47,Flipkart,Debit Card,Success
500243,101131,2029-08-29 07:57:00,ATM Withdrawal,19833.43,10,Swiggy,Credit Card,Success
500244,101148,2029-09-03 19:56:00,Online Transfer,25664.44,23,Zomato,Net Banking,Success
500245,101165,2029-09-09 07:55:00,Cash Withdrawal,31495.45,36,Myntra,ATM,Success
500246,101182,2029-09-14 19:54:00,Deposit,37326.46,49,Uber,UPI,Success
500247,101199,2029-09-20 07:53:00,UPI,43157.47,12,IRCTC,Debit Card,Success
500248,101216,2029-09-25 19:52:00,Card Payment,48988.48,25,Reliance,Credit Card,Success
500249,101233,2029-10-01 07:51:00,ATM Withdrawal,4919.49,38,DMart,Net Banking,Success
500250,101250,2029-10-06 19:50:00,Online Transfer,10750.5,1,Netflix,ATM,Success
500251,101267,2029-10-12 07:49:00,Cash Withdrawal,16581.51,14,PhonePe,UPI,Success
500252,101284,2029-10-17 19:48:00,Deposit,22412.52,27,Google Pay,Debit Card,Success
500253,101301,2029-10-23 07:47:00,UPI,28243.53,40,Amazon,Credit Card,Success
500254,101318,2029-10-28 19:46:00,Card Payment,435674.0,3,Flipkart,Net Banking,Success
500255,101335,2029-11-03 07:45:00,ATM Withdrawal,39905.55,16,Swiggy,ATM,Success
500256,101352,2029-11-08 19:44:00,Online Transfer,45736.56,29,Zomato,UPI,Success
500257,101369,2029-11-14 07:43:00,Cash Withdrawal,1667.57,42,Myntra,Debit Card,Success
500258,101386,2029-11-19 19:42:00,Deposit,7498.58,5,Uber,Credit Card,Success
500259,101403,2029-11-25 07:41:00,UPI,13329.59,18,IRCTC,Net Banking,Success
500260,101420,2029-11-30 19:40:00,Card Payment,19160.6,31,Reliance,ATM,Success
500261,101437,2029-12-06 07:39:00,ATM Withdrawal,24991.61,44,DMart,UPI,Success
500262,101454,2029-12-11 19:38:00,Online Transfer,30822.62,7,Netflix,Debit Card,Success
500263,101471,2029-12-17 07:37:00,Cash Withdrawal,36653.63,20,PhonePe,Credit Card,Success
500264,101488,2029-12-22 19:36:00,Deposit,42484.64,33,Google Pay,Net Banking,Success
500265,101505,2029-12-28 07:35:00,UPI,48315.65,46,Amazon,ATM,Success
500266,101522,2030-01-02 19:34:00,Card Payment,4246.66,9,Flipkart,UPI,Success
500267,101539,2030-01-08 07:33:00,ATM Withdrawal,261873.0,22,Swiggy,Debit Card,Success
500268,101556,2030-01-13 19:32:00,Online Transfer,15908.68,35,Zomato,Credit Card,Pending
500269,101573,2030-01-19 07:31:00,Cash Withdrawal,21739.69,48,Myntra,Net Banking,Success
500270,101590,2030-01-24 19:30:00,Deposit,27570.7,11,Uber,ATM,Success
500271,101607,2030-01-30 07:29:00,UPI,33401.71,24,IRCTC,UPI,Success
500272,101624,2030-02-04 19:28:00,Card Payment,39232.72,37,Reliance,Debit Card,Success
500273,101641,2030-02-10 07:27:00,ATM Withdrawal,45063.73,50,DMart,Credit Card,Success
500274,101658,2030-02-15 19:26:00,Online Transfer,994.74,13,Netflix,Net Banking,Success
500275,101675,2030-02-21 07:25:00,Cash Withdrawal,6825.75,26,PhonePe,ATM,Success
500276,101692,2030-02-26 19:24:00,Deposit,12656.76,39,Google Pay,UPI,Success
500277,101709,2030-03-04 07:23:00,UPI,18487.77,2,Amazon,Debit Card,Success
500278,101726,2030-03-09 19:22:00,Card Payment,24318.78,15,Flipkart,Credit Card,Success
500279,101743,2026-01-05 07:21:00,ATM Withdrawal,30149.79,28,Swiggy,Net Banking,Success
500280,101760,2026-01-10 19:20:00,Online Transfer,35980.8,41,Zomato,ATM,Success
500281,101777,2026-01-16 07:19:00,Cash Withdrawal,41811.81,4,Myntra,UPI,Success
500282,101794,2026-01-21 19:18:00,Deposit,47642.82,17,Uber,Debit Card,Success
500283,101811,2026-01-27 07:17:00,UPI,3573.83,30,IRCTC,Credit Card,Success
500284,101828,2026-02-01 19:16:00,Card Payment,9404.84,43,Reliance,Net Banking,Success
500285,101845,2026-02-07 07:15:00,ATM Withdrawal,15235.85,6,DMart,ATM,Success
500286,101862,2026-02-12 19:14:00,Online Transfer,21066.86,19,Netflix,UPI,Success
500287,101879,2026-02-18 07:13:00,Cash Withdrawal,26897.87,32,PhonePe,Debit Card,Success
500288,101896,2026-02-23 19:12:00,Deposit,32728.88,45,Google Pay,Credit Card,Success
500289,101913,2026-03-01 07:11:00,UPI,38559.89,8,Amazon,Net Banking,Success
500290,101930,2026-03-06 19:10:00,Card Payment,44390.9,21,Flipkart,ATM,Success
500291,101947,2026-03-12 07:09:00,ATM Withdrawal,321.91,34,Swiggy,UPI,Success
500292,101964,2026-03-17 19:08:00,Online Transfer,6152.92,47,Zomato,Debit Card,Success
500293,101981,2026-03-23 07:07:00,Cash Withdrawal,11983.93,10,Myntra,Credit Card,Success
500294,101998,2026-03-28 19:06:00,Deposit,17814.94,23,Uber,Net Banking,Success
500295,102015,2026-04-03 07:05:00,UPI,23645.95,36,IRCTC,ATM,Success
500296,102032,2026-04-08 19:04:00,Card Payment,29476.96,49,Reliance,UPI,Success
500297,102049,2026-04-14 07:03:00,ATM Withdrawal,35307.97,12,DMart,Debit Card,Success
500298,102066,2026-04-19 19:02:00,Online Transfer,41138.98,25,Netflix,Credit Card,Success
500299,102083,2026-04-25 07:01:00,Cash Withdrawal,46969.99,38,PhonePe,Net Banking,Success
